"Qubit","T1 (us)","T2 (us)","Readout assignment error","Prob meas0 prep1","Prob meas1 prep0","Readout length (ns)","ID error","Single-qubit gate length (ns)","RX error","Z-axis rotation (rz) error","√x (sx) error","Pauli-X error","CZ error","Gate length (ns)","RZZ error","MEASURE error","MEASURE_2 error","Operational"
"0","58.486465300591384","101.00157594373695","0.0074462890625","0.010498046875","0.00439453125","2584","0.00037019514552804673","32","0.00037019514552804673","0","0.00037019514552804673","0.00037019514552804673","1:0.0035140039968610814","1:88","1:0.0031323559843360604","0.0074462890625","0.00390625","Yes"
"1","241.13065909493363","237.61223982804407","0.00341796875","0.00537109375","0.00146484375","2584","0.0002686764828283854","32","0.0002686764828283854","0","0.0002686764828283854","0.0002686764828283854","2:0.0024000053474691196;0:0.0035140039968610814","2:88;0:88","2:0.006604892318155531;0:0.0031323559843360604","0.00341796875","0.020263671875","Yes"
"2","203.70771888985647","219.13855054508775","0.003173828125","0.00390625","0.00244140625","2584","0.00023636826019162927","32","0.00023636826019162927","0","0.00023636826019162927","0.00023636826019162927","1:0.0024000053474691196;3:0.001425106529003961","1:88;3:88","1:0.006604892318155531;3:0.0010941298008963207","0.003173828125","0.015380859375","Yes"
"3","265.2464871667331","253.99380850067465","0.00439453125","0.005859375","0.0029296875","2584","0.00007385103678436854","32","0.00007385103678436854","0","0.00007385103678436854","0.00007385103678436854","16:0.0013142122205172246;2:0.001425106529003961;4:0.00098034229288263","16:88;2:88;4:88","16:0.0012482637461340151;2:0.0010941298008963207;4:0.0011146401741807532","0.00439453125","0.01806640625","Yes"
"4","248.0010599683054","241.0334648506084","0.0030517578125","0.004638671875","0.00146484375","2584","0.00039044514230823546","32","0.00039044514230823546","0","0.00039044514230823546","0.00039044514230823546","3:0.00098034229288263;5:0.0015363035293326222","3:88;5:88","3:0.0011146401741807532;5:0.002014235193281838","0.0030517578125","0.01123046875","Yes"
"5","397.7838544740692","387.31698796639375","0.0037841796875","0.00537109375","0.002197265625","2584","0.0001538792127895231","32","0.0001538792127895231","0","0.0001538792127895231","0.0001538792127895231","6:0.001855017043226742;4:0.0015363035293326222","6:88;4:88","6:0.0012405872381852923;4:0.002014235193281838","0.0037841796875","0.005126953125","Yes"
"6","142.56551671939633","169.69508263946832","0.005859375","0.0068359375","0.0048828125","2584","0.0006396794786808541","32","0.0006396794786808541","0","0.0006396794786808541","0.0006396794786808541","5:0.001855017043226742;7:0.002009220780061105","5:88;7:88","5:0.0012405872381852923;7:0.0015032151429576202","0.005859375","0.004638671875","Yes"
"7","316.1720095834169","301.1736445672795","0.004638671875","0.007568359375","0.001708984375","2584","0.00025871253903814786","32","0.00025871253903814786","0","0.00025871253903814786","0.00025871253903814786","17:0.001535872701718205;6:0.002009220780061105;8:0.001862519906604826","17:88;6:88;8:88","17:0.001542276369273593;6:0.0015032151429576202;8:0.017459896790702117","0.004638671875","0.005615234375","Yes"
"8","239.21422228508118","314.993440434545","0.0106201171875","0.0048828125","0.016357421875","2584","0.00046282878732697795","32","0.00046282878732697795","0","0.00046282878732697795","0.00046282878732697795","9:0.007298242008312972;7:0.001862519906604826","9:88;7:88","7:0.017459896790702117","0.0106201171875","0.002197265625","Yes"
"9","43.467503597216776","54.454053176319626","0.0899658203125","0.166015625","0.013916015625","2584","0.001498087189222936","32","0.001498087189222936","0","0.001498087189222936","0.001498087189222936","8:0.007298242008312972;10:0.005133207810984225","8:88;10:88","10:0.0049659425486968944","0.0899658203125","0.023193359375","Yes"
"10","286.036997616835","313.7922900168873","0.0030517578125","0.01171875","0.000244140625","2584","0.00032670316891351785","32","0.00032670316891351785","0","0.00032670316891351785","0.00032670316891351785","9:0.005133207810984225;11:0.001585204033555776","9:88;11:88","9:0.0049659425486968944;11:0.0012741002826892889","0.0030517578125","0.006591796875","Yes"
"11","202.9935508748058","270.3542317887613","0.0025634765625","0.00439453125","0.000732421875","2584","0.0002550578464461248","32","0.0002550578464461248","0","0.0002550578464461248","0.0002550578464461248","18:0.0012055421644974473;10:0.001585204033555776;12:0.0011205216067027568","18:88;10:88;12:88","18:0.000771103887775737;10:0.0012741002826892889;12:0.001179589542553372","0.0025634765625","0.00439453125","Yes"
"12","247.8258709224061","277.58532527260076","0.002197265625","0.003173828125","0.001220703125","2584","0.00014671117903383043","32","0.00014671117903383043","0","0.00014671117903383043","0.00014671117903383043","13:0.001084872921098462;11:0.0011205216067027568","13:88;11:88","13:0.0008860282532854036;11:0.001179589542553372","0.002197265625","0.00146484375","Yes"
"13","248.5679802477686","247.5829642951431","0.0030517578125","0.00439453125","0.001708984375","2584","0.00035621362521085474","32","0.00035621362521085474","0","0.00035621362521085474","0.00035621362521085474","12:0.001084872921098462;14:0.0010965579854166907","12:88;14:88","12:0.0008860282532854036;14:0.0010590206512224587","0.0030517578125","0.004638671875","Yes"
"14","306.6422334961092","328.984211734342","0.003662109375","0.005126953125","0.002197265625","2584","0.0007624334000335254","32","0.0007624334000335254","0","0.0007624334000335254","0.0007624334000335254","15:0.0009047938676998712;13:0.0010965579854166907","15:88;13:88","15:0.0010810073842026369;13:0.0010590206512224587","0.003662109375","0.002197265625","Yes"
"15","382.87185733024756","372.2896373262111","0.0091552734375","0.0107421875","0.007568359375","2584","0.0002213237418062085","32","0.0002213237418062085","0","0.0002213237418062085","0.0002213237418062085","14:0.0009047938676998712;19:0.0009140865268406351","14:88;19:88","14:0.0010810073842026369;19:0.000915990606697753","0.0091552734375","0.005126953125","Yes"
"16","271.9157485121806","332.121184312039","0.005615234375","0.0087890625","0.00244140625","2584","0.0001844081372189548","32","0.0001844081372189548","0","0.0001844081372189548","0.0001844081372189548","23:0.0012340221321597289;3:0.0013142122205172246","23:88;3:88","23:0.0011085629537172237;3:0.0012482637461340151","0.005615234375","0.0068359375","Yes"
"17","288.8082161548335","264.38119910469675","0.0050048828125","0.009521484375","0.00048828125","2584","0.00032017757536021124","32","0.00032017757536021124","0","0.00032017757536021124","0.00032017757536021124","7:0.001535872701718205;27:0.001639186618217492","7:88;27:88","7:0.001542276369273593;27:0.002566217107877633","0.0050048828125","0.0029296875","Yes"
"18","304.4754700305959","423.202654680001","0.002197265625","0.00439453125","0","2584","0.0004034566150778452","32","0.0004034566150778452","0","0.0004034566150778452","0.0004034566150778452","11:0.0012055421644974473;31:0.1319252535034008","11:88;31:88","11:0.000771103887775737","0.002197265625","0.006591796875","Yes"
"19","274.3806474594611","387.3979517966344","0.0050048828125","0.00732421875","0.002685546875","2584","0.0003461264548327829","32","0.0003461264548327829","0","0.0003461264548327829","0.0003461264548327829","35:0.0011477440334488054;15:0.0009140865268406351","35:88;15:88","35:0.0008473034422313286;15:0.000915990606697753","0.0050048828125","0.007568359375","Yes"
"20","364.2136621876414","554.2071521628616","0.0009765625","0.00146484375","0.00048828125","2584","0.00023929703699099002","32","0.00023929703699099002","0","0.00023929703699099002","0.00023929703699099002","21:0.002185295503033119","21:88","21:0.002840225378777761","0.0009765625","0.0009765625","Yes"
"21","304.2883630257462","360.15357930483543","0.003662109375","0.006591796875","0.000732421875","2584","0.0001754488001268547","32","0.0001754488001268547","0","0.0001754488001268547","0.0001754488001268547","36:0.008583495935122892;20:0.002185295503033119;22:0.0012447346541489546","36:88;20:88;22:88","36:0.009271403612791024;20:0.002840225378777761;22:0.0015806284317393393","0.003662109375","0.012939453125","Yes"
"22","249.49686391760287","325.8523074825759","0.0032958984375","0.00439453125","0.002197265625","2584","0.00021825670300577589","32","0.00021825670300577589","0","0.00021825670300577589","0.00021825670300577589","23:0.0011596349599351796;21:0.0012447346541489546","23:88;21:88","23:0.00152093167559339;21:0.0015806284317393393","0.0032958984375","0.00341796875","Yes"
"23","358.7941237550845","292.81448139952596","0.03173828125","0.047607421875","0.015869140625","2584","0.0002146585251426892","32","0.0002146585251426892","0","0.0002146585251426892","0.0002146585251426892","22:0.0011596349599351796;24:0.0018759944867216827;16:0.0012340221321597289","22:88;24:88;16:88","22:0.00152093167559339;24:0.0012572289012022508;16:0.0011085629537172237","0.03173828125","0.010009765625","Yes"
"24","227.2106549343215","314.95316866738864","0.0015869140625","0.002197265625","0.0009765625","2584","0.00024386130480050244","32","0.00024386130480050244","0","0.00024386130480050244","0.00024386130480050244","23:0.0018759944867216827;25:0.005640801226126757","23:88;25:88","23:0.0012572289012022508;25:0.0031964102637657976","0.0015869140625","0.002685546875","Yes"
"25","304.48081492414343","356.99201153775743","0.0057373046875","0.005859375","0.005615234375","2584","0.00019416987693677648","32","0.00019416987693677648","0","0.00019416987693677648","0.00019416987693677648","24:0.005640801226126757;26:0.03349205180898421;37:0.0038497701604904844","24:88;26:88;37:88","24:0.0031964102637657976;26:0.04998452611925916;37:0.004347002238737546","0.0057373046875","0.005126953125","Yes"
"26","259.9212142244155","324.855667760748","0.002685546875","0.004638671875","0.000732421875","2584","0.000920269049458698","32","0.000920269049458698","0","0.000920269049458698","0.000920269049458698","25:0.03349205180898421;27:0.001295880240077485","25:88;27:88","25:0.04998452611925916;27:0.0022320396971660383","0.002685546875","0.025146484375","Yes"
"27","258.36099150453776","198.32104324700205","0.0087890625","0.00341796875","0.001220703125","2584","0.00010351884063385351","32","0.00010351884063385351","0","0.00010351884063385351","0.00010351884063385351","26:0.001295880240077485;28:0.0016263217923556395;17:0.001639186618217492","26:88;28:88;17:88","26:0.0022320396971660383;28:0.0026860827715815827;17:0.002566217107877633","0.0087890625","0.002685546875","Yes"
"28","256.05362014164234","239.83916531238867","0.0048828125","0.009765625","0","2584","0.0003982189594889563","32","0.0003982189594889563","0","0.0003982189594889563","0.0003982189594889563","27:0.0016263217923556395;29:0.0013394211406854706","27:88;29:88","27:0.0026860827715815827;29:0.0012991164163989877","0.0048828125","0.001708984375","Yes"
"29","334.111399261307","308.65068390938876","0.0013427734375","0.00146484375","0.001220703125","2584","0.00012047945277917073","32","0.00012047945277917073","0","0.00012047945277917073","0.00012047945277917073","38:0.0016579609563499575;28:0.0013394211406854706;30:0.0011631899256492328","38:88;28:88;30:88","38:0.0015656612557346794;28:0.0012991164163989877;30:0.0025068109175619135","0.0013427734375","0.003173828125","Yes"
"30","247.21451019021777","284.498913088078","0.00439453125","0.007080078125","0.001708984375","2584","0.0002617060050958227","32","0.0002617060050958227","0","0.0002617060050958227","0.0002617060050958227","31:0.14548138525185422;29:0.0011631899256492328","31:88;29:88","31:0.052083642868451685;29:0.0025068109175619135","0.00439453125","0.002685546875","Yes"
"31","16.613732263782055","30.033603954987875","0.018798828125","0.03759765625","0","2584","0.0017559911848034032","32","0.0017559911848034032","0","0.0017559911848034032","0.0017559911848034032","30:0.14548138525185422;18:0.1319252535034008","30:88;32:88;18:88","30:0.052083642868451685","0.018798828125","0.0107421875","Yes"
"32","303.0489002999557","383.26042620515256","0.004638671875","0.007080078125","0.002197265625","2584","0.00023223737233901123","32","0.00023223737233901123","0","0.00023223737233901123","0.00023223737233901123","33:0.0012839576646443973","31:88;33:88","33:0.001353855700566009","0.004638671875","0.010498046875","Yes"
"33","319.0752360819708","354.2392933157063","0.001708984375","0.001708984375","0.001708984375","2584","0.0001331550430087943","32","0.0001331550430087943","0","0.0001331550430087943","0.0001331550430087943","39:0.0014302075592588226;32:0.0012839576646443973;34:0.0023116951458241886","39:88;32:88;34:88","39:0.0011399622549198296;32:0.001353855700566009;34:0.0015488410774848749","0.001708984375","0.00244140625","Yes"
"34","262.54519789124856","334.43177451403943","0.0040283203125","0.0078125","0.000244140625","2584","0.00016414167640312242","32","0.00016414167640312242","0","0.00016414167640312242","0.00016414167640312242","33:0.0023116951458241886;35:0.002767460499830343","33:88;35:88","33:0.0015488410774848749;35:0.004614648250059666","0.0040283203125","0.003173828125","Yes"
"35","390.1242638166731","402.36978824795165","0.005615234375","0.008544921875","0.002685546875","2584","0.00019211626123072145","32","0.00019211626123072145","0","0.00019211626123072145","0.00019211626123072145","19:0.0011477440334488054;34:0.002767460499830343","19:88;34:88","19:0.0008473034422313286;34:0.004614648250059666","0.005615234375","0.002685546875","Yes"
"36","7.168738253097911","15.073204392844406","0.0389404296875","0.071533203125","0.00634765625","2584","0.0017274660442384866","32","0.0017274660442384866","0","0.0017274660442384866","0.0017274660442384866","41:0.012200752167473045;21:0.008583495935122892","41:88;21:88","41:0.008278550061888379;21:0.009271403612791024","0.0389404296875","0.014892578125","Yes"
"37","166.8264712702773","283.13809081151436","0.0030517578125","0.00537109375","0.000732421875","2584","0.0000942356155382811","32","0.0000942356155382811","0","0.0000942356155382811","0.0000942356155382811","45:0.002558847409719983;25:0.0038497701604904844","45:88;25:88","45:0.0015489651867853782;25:0.004347002238737546","0.0030517578125","0.0029296875","Yes"
"38","220.27186415611004","303.5511203226285","0.0028076171875","0.005615234375","0","2584","0.0001810716623743735","32","0.0001810716623743735","0","0.0001810716623743735","0.0001810716623743735","29:0.0016579609563499575;49:0.0020785236272985452","29:88;49:88","29:0.0015656612557346794;49:0.0016109855111233473","0.0028076171875","0.004150390625","Yes"
"39","195.97265611017554","268.2933433543509","0.001953125","0.003662109375","0.000244140625","2584","0.0001959644587940966","32","0.0001959644587940966","0","0.0001959644587940966","0.0001959644587940966","53:0.0011298727328402647;33:0.0014302075592588226","53:88;33:88","53:0.0012467707772990388;33:0.0011399622549198296","0.001953125","0.00439453125","Yes"
"40","282.34677504166467","469.1405276642775","0.0028076171875","0.003662109375","0.001953125","2584","0.0000856275984076407","32","0.0000856275984076407","0","0.0000856275984076407","0.0000856275984076407","41:0.0031004863924576354","41:88","41:0.0014864674788450105","0.0028076171875","0.003662109375","Yes"
"41","352.3726341579671","434.59890551142104","0.0047607421875","0.006591796875","0.0029296875","2584","0.00017641908971439396","32","0.00017641908971439396","0","0.00017641908971439396","0.00017641908971439396","40:0.0031004863924576354;42:0.0019246571770777376;36:0.012200752167473045","40:88;42:88;36:88","40:0.0014864674788450105;42:0.0012866643104544606;36:0.008278550061888379","0.0047607421875","0.005126953125","Yes"
"42","349.2603222545422","415.23577722394964","0.0035400390625","0.0048828125","0.002197265625","2584","0.00014090469607187447","32","0.00014090469607187447","0","0.00014090469607187447","0.00014090469607187447","41:0.0019246571770777376;43:0.0021832455376314397","41:88;43:88","41:0.0012866643104544606;43:0.0013151093271708547","0.0035400390625","0.00390625","Yes"
