"Qubit","T1 (us)","T2 (us)","Readout assignment error","Prob meas0 prep1","Prob meas1 prep0","Readout length (ns)","ID error","Single-qubit gate length (ns)","RX error","Z-axis rotation (rz) error","√x (sx) error","Pauli-X error","Gate length (ns)","RZZ error","MEASURE error","MEASURE_2 error","Operational","CZ error"
"51","223.6612170287128","232.23206279773146","0.0400390625","0.0400390625","0.0400390625","2280","0.00011737206182797957","32","0.00011737206182797957","0","0.00011737206182797957","0.00011737206182797957","50:68;52:68;58:68","50:0.0014585978384521192;52:0.0027011330936541067;58:0.0013783679875288002","0.0400390625","0.0302734375","Yes","50:0.0016184974315447964;52:0.002826567237131844;58:0.002154961490771573"
"52","226.82303918680424","53.60439659269601","0.0654296875","0.04833984375","0.08251953125","2280","0.0003955890324922556","32","0.0003955890324922556","0","0.0003955890324922556","0.0003955890324922556","51:68;53:68","51:0.0027011330936541067;53:0.005099414736884883","0.0654296875","0.083740234375","Yes","51:0.002826567237131844;53:0.0024541006920319186"
"53","472.0298290427377","103.11078956418349","0.009765625","0.01123046875","0.00830078125","2280","0.00016057166571458736","32","0.00016057166571458736","0","0.00016057166571458736","0.00016057166571458736","39:68;52:68;54:68","39:0.00111257986615515;52:0.005099414736884883;54:0.00114148974427275","0.009765625","0.003662109375","Yes","39:0.0017168058959352028;52:0.0024541006920319186;54:0.0010488550211358305"
"54","139.4421334131942","122.90954679282257","0.037353515625","0.05712890625","0.017578125","2280","0.00021830103759438974","32","0.00021830103759438974","0","0.00021830103759438974","0.00021830103759438974","53:68;55:68","53:0.00114148974427275;55:0.0021611590359163213","0.037353515625","0.07177734375","Yes","53:0.0010488550211358305;55:0.00439159535924899"
"55","150.19578458239872","76.17291015017584","0.02001953125","0.01611328125","0.02392578125","2280","0.00020495714692270672","32","0.00020495714692270672","0","0.00020495714692270672","0.00020495714692270672","59:68;54:68","59:0.00585708038045854;54:0.0021611590359163213","0.02001953125","0.02099609375","Yes","59:0.0022360900213204415;54:0.00439159535924899"
"56","255.7707620754474","47.23214899681074","0.091064453125","0.076171875","0.10595703125","2280","0.0002906084554721138","32","0.0002906084554721138","0","0.0002906084554721138","0.0002906084554721138","63:68;43:68","63:0.002398964661388142;43:0.0036110749839987355","0.091064453125","0.062255859375","Yes","63:0.002157471602580646;43:0.003956360858026947"
"57","62.29119122598784","72.95339197576574","0.02783203125","0.04541015625","0.01025390625","2280","0.0002799823913465168","32","0.0002799823913465168","0","0.0002799823913465168","0.0002799823913465168","47:68;67:68","47:0.0019397252518449093;67:0.002368492478177081","0.02783203125","0.005126953125","Yes","47:0.003138460982524627;67:0.005585029239377287"
"58","224.86685686166786","106.38259047125992","0.0068359375","0.0107421875","0.0029296875","2280","0.0002973728843617673","32","0.0002973728843617673","0","0.0002973728843617673","0.0002973728843617673","71:68;51:68","71:0.004391374388708624;51:0.0013783679875288002","0.0068359375","0.009033203125","Yes","71:0.0029577886151363475;51:0.002154961490771573"
"59","333.19249804872146","406.89256946325077","0.0126953125","0.01318359375","0.01220703125","2280","0.00023152002133498045","32","0.00023152002133498045","0","0.00023152002133498045","0.00023152002133498045","55:68;75:68","55:0.00585708038045854;75:0.003869309248421604","0.0126953125","0.013671875","Yes","55:0.0022360900213204415;75:0.004732938210390836"
"60","172.06797447081203","35.861600105187385","0.01220703125","0.017578125","0.0068359375","2280","0.00036106218085210363","32","0.00036106218085210363","0","0.00036106218085210363","0.00036106218085210363","61:68","61:0.002072129462868444","0.01220703125","0.007568359375","Yes","61:0.002770334137757291"
"61","136.16107984728336","44.92068332977434","0.0126953125","0.0146484375","0.0107421875","2280","0.00022090142343644215","32","0.00022090142343644215","0","0.00022090142343644215","0.00022090142343644215","76:68;60:68;62:68","76:0.002716181171322468;60:0.002072129462868444;62:0.0017132112012387957","0.0126953125","0.01318359375","Yes","76:0.0024767799622341657;60:0.002770334137757291;62:0.0018250456628521317"
"62","168.69677596531113","101.64363838955462","0.0068359375","0.01025390625","0.00341796875","2280","0.0002851309484631932","32","0.0002851309484631932","0","0.0002851309484631932","0.0002851309484631932","61:68;63:68","61:0.0017132112012387957;63:0.001878214457492977","0.0068359375","0.011474609375","Yes","61:0.0018250456628521317;63:0.0014676092314400146"
"63","306.5836075862916","64.84988879194097","0.013671875","0.01904296875","0.00830078125","2280","0.0002614887447980673","32","0.0002614887447980673","0","0.0002614887447980673","0.0002614887447980673","56:68;62:68;64:68","56:0.002398964661388142;62:0.001878214457492977;64:0.002229708607774189","0.013671875","0.050048828125","Yes","56:0.002157471602580646;62:0.0014676092314400146;64:0.0015963781714741498"
"64","181.8120492601598","119.81458334646612","0.009765625","0.0107421875","0.0087890625","2280","0.0003101943700751337","32","0.0003101943700751337","0","0.0003101943700751337","0.0003101943700751337","65:68;63:68","65:0.002258090981639177;63:0.002229708607774189","0.009765625","0.0078125","Yes","65:0.003028330696720677;63:0.0015963781714741498"
"65","201.17645333956605","185.85210273708637","0.012451171875","0.02197265625","0.0029296875","2280","0.0006082076864620901","32","0.0006082076864620901","0","0.0006082076864620901","0.0006082076864620901","64:68;66:68;77:68","64:0.002258090981639177;66:0.0021179698686654425;77:0.001960873632602944","0.012451171875","0.005126953125","Yes","64:0.003028330696720677;66:0.002137343953014764;77:0.0014686295316988784"
"66","119.56918837630465","157.03754223503637","0.014892578125","0.01708984375","0.0126953125","2280","0.00040432067327363574","32","0.00040432067327363574","0","0.00040432067327363574","0.00040432067327363574","65:68;67:68","65:0.0021179698686654425;67:0.0014597972699340878","0.014892578125","0.010498046875","Yes","65:0.002137343953014764;67:0.0013373427130929372"
"67","182.59816783468347","103.18981147318772","0.009765625","0.0146484375","0.0048828125","2280","0.00024484341961870845","32","0.00024484341961870845","0","0.00024484341961870845","0.00024484341961870845","68:68;57:68;66:68","68:0.0011579311826463434;57:0.002368492478177081;66:0.0014597972699340878","0.009765625","0.00537109375","Yes","68:0.0013072831317844369;57:0.005585029239377287;66:0.0013373427130929372"
"68","113.8345032269024","95.90736403031768","0.030029296875","0.0302734375","0.02978515625","2280","0.00012146286540956321","32","0.00012146286540956321","0","0.00012146286540956321","0.00012146286540956321","67:68;69:68","67:0.0011579311826463434;69:0.0011042540244058652","0.030029296875","0.0224609375","Yes","67:0.0013072831317844369;69:0.0014492992321634979"
"69","189.9637710709119","177.77547733233376","0.01708984375","0.025390625","0.0087890625","2280","0.00014821476677044334","32","0.00014821476677044334","0","0.00014821476677044334","0.00014821476677044334","78:68;68:68;70:68","78:0.0017187350033584237;68:0.0011042540244058652;70:0.0021939001112130097","0.01708984375","0.0107421875","Yes","78:0.005071833673305437;68:0.0014492992321634979;70:0.003849156197619358"
"70","146.0476902875248","107.95407207667596","0.016357421875","0.01953125","0.01318359375","2280","0.00017585636249193166","32","0.00017585636249193166","0","0.00017585636249193166","0.00017585636249193166","69:68;71:68","69:0.0021939001112130097;71:0.005135604611619271","0.016357421875","0.109130859375","Yes","69:0.003849156197619358;71:0.0016056529252135854"
"71","308.99587079173114","191.27736926367803","0.0185546875","0.01611328125","0.02099609375","2280","0.00029054517530162035","32","0.00029054517530162035","0","0.00029054517530162035","0.00029054517530162035","72:68;58:68;70:68","72:0.004932317025432009;58:0.004391374388708624;70:0.005135604611619271","0.0185546875","0.025634765625","Yes","72:0.0021861538010859993;58:0.0029577886151363475;70:0.0016056529252135854"
"72","254.66629059642628","117.55567856772674","0.05078125","0.03759765625","0.06396484375","2280","0.00021669705999240884","32","0.00021669705999240884","0","0.00021669705999240884","0.00021669705999240884","73:68;71:68","73:0.002128789893685562;71:0.004932317025432009","0.05078125","0.30224609375","Yes","73:0.0030213326879540425;71:0.0021861538010859993"
"73","173.10985369803888","67.71937370208572","0.041748046875","0.03173828125","0.0517578125","2280","0.00018437170336143852","32","0.00018437170336143852","0","0.00018437170336143852","0.00018437170336143852","72:68;74:68;79:68","72:0.002128789893685562;74:0.002547739797920723;79:0.0013865461622077913","0.041748046875","0.04736328125","Yes","72:0.0030213326879540425;74:0.0010213274908312808;79:0.0011600138071158062"
"74","187.54042295681387","120.37041635520808","0.0087890625","0.01171875","0.005859375","2280","0.00025241664785544344","32","0.00025241664785544344","0","0.00025241664785544344","0.00025241664785544344","73:68;75:68","73:0.002547739797920723;75:0.0018410707288428196","0.0087890625","0.0107421875","Yes","73:0.0010213274908312808;75:0.0014043132584080353"
"75","172.58629258968304","98.0374728951671","0.01806640625","0.01904296875","0.01708984375","2280","0.00015357485769040556","32","0.00015357485769040556","0","0.00015357485769040556","0.00015357485769040556","59:68;74:68","59:0.003869309248421604;74:0.0018410707288428196","0.01806640625","0.065673828125","Yes","59:0.004732938210390836;74:0.0014043132584080353"
