"Qubit","T1 (us)","T2 (us)","Readout assignment error","Prob meas0 prep1","Prob meas1 prep0","Readout length (ns)","ID error","Single-qubit gate length (ns)","RX error","Z-axis rotation (rz) error","√x (sx) error","Pauli-X error","CZ error","Gate length (ns)","RZZ error","MEASURE error","MEASURE_2 error","Operational"
"37","200.6534979511012","286.5402315736519","0.001953125","0.00341796875","0.00048828125","2584","0.000189858950086183","32","0.000189858950086183","0","0.000189858950086183","0.000189858950086183","45:0.002063139128457764;25:0.0025218393445657628","45:88;25:88","45:0.002059428630928034;25:0.0017341292064119718","0.001953125","0.00390625","Yes"
"38","229.5881885284702","340.34690252800794","0.0028076171875","0.005126953125","0.00048828125","2584","0.00017362690726421256","32","0.00017362690726421256","0","0.00017362690726421256","0.00017362690726421256","29:0.0010627016378815246;49:0.005417049860931333","29:88;49:88","29:0.0011606290746657977;49:0.004402236849168989","0.0028076171875","0.00341796875","Yes"
"39","198.58550541892185","282.2725824532899","0.001953125","0.003662109375","0.000244140625","2584","0.0002578689633726915","32","0.0002578689633726915","0","0.0002578689633726915","0.0002578689633726915","53:0.0010154731173197262;33:0.0013065733111316813","53:88;33:88","53:0.00184110978570165;33:0.001416578860254314","0.001953125","0.003662109375","Yes"
"40","307.5722887248934","421.27420886788474","0.0030517578125","0.004150390625","0.001953125","2584","0.00013395342173192954","32","0.00013395342173192954","0","0.00013395342173192954","0.00013395342173192954","41:0.0020320296112250613","41:88","41:0.009632319312953996","0.0030517578125","0.005126953125","Yes"
"41","392.8586677579286","452.58510910968346","0.0042724609375","0.00634765625","0.002197265625","2584","0.00022309364694993695","32","0.00022309364694993695","0","0.00022309364694993695","0.00022309364694993695","40:0.0020320296112250613;42:0.0010184082772310143;36:0.009413104108636994","40:88;42:88;36:88","40:0.009632319312953996;42:0.0010182416553757012;36:0.008889352800035916","0.0042724609375","0.004150390625","Yes"
"42","310.85728381693116","346.1363428039354","0.003173828125","0.003662109375","0.002685546875","2584","0.00015276030483801946","32","0.00015276030483801946","0","0.00015276030483801946","0.00015276030483801946","41:0.0010184082772310143;43:0.0017866119692604432","41:88;43:88","41:0.0010182416553757012;43:0.0015463615954509347","0.003173828125","0.003662109375","Yes"
"43","366.52468247550723","482.18883689780114","0.004638671875","0.005615234375","0.003662109375","2584","0.00032007269567508695","32","0.00032007269567508695","0","0.00032007269567508695","0.00032007269567508695","42:0.0017866119692604432;56:0.007396172268882284;44:0.0008889652017453342","42:88;56:88;44:88","42:0.0015463615954509347;56:0.010847236974444702;44:0.0009211756520202674","0.004638671875","0.000732421875","Yes"
"44","246.98001014341284","321.29847309745537","0.00634765625","0.0107421875","0.002685546875","2584","0.00018552304421400905","32","0.00018552304421400905","0","0.00018552304421400905","0.00018552304421400905","45:0.001759572991352848;43:0.0008889652017453342","45:88;43:88","45:0.002063780885355221;43:0.0009211756520202674","0.00634765625","0.0029296875","Yes"
"45","304.33232227014383","266.0495681587398","0.0050048828125","0.005126953125","0.0048828125","2584","0.00015700004967697208","32","0.00015700004967697208","0","0.00015700004967697208","0.00015700004967697208","44:0.001759572991352848;46:0.008106197104781193;37:0.002063139128457764","44:88;46:88;37:88","44:0.002063780885355221;46:0.011218848836014261;37:0.002059428630928034","0.0050048828125","0.005615234375","Yes"
"46","366.7799955658291","335.29660271507714","0.002685546875","0.004638671875","0.000732421875","2584","0.00014127914982695744","32","0.00014127914982695744","0","0.00014127914982695744","0.00014127914982695744","45:0.008106197104781193;47:0.001170027298034504","45:88;47:88","45:0.011218848836014261;47:0.0009733695728290359","0.002685546875","0.00341796875","Yes"
"47","364.252052158222","295.14388485786264","0.0035400390625","0.003662109375","0.00341796875","2584","0.00028063528050123547","32","0.00028063528050123547","0","0.00028063528050123547","0.00028063528050123547","48:0.0020190783984580796;57:0.0022635826092633204;46:0.001170027298034504","48:88;57:88;46:88","48:0.001927866061690181;57:0.0030802472367041367;46:0.0009733695728290359","0.0035400390625","0.002685546875","Yes"
"48","294.9720584556093","263.24045324942864","0.0023193359375","0.0029296875","0.001708984375","2584","0.00023124302107689547","32","0.00023124302107689547","0","0.00023124302107689547","0.00023124302107689547","47:0.0020190783984580796;49:0.004681636173734599","47:88;49:88","47:0.001927866061690181;49:0.0030300558579776926","0.0023193359375","0.001953125","Yes"
"49","366.4081020810341","243.87702818499986","0.0020751953125","0.003173828125","0.0009765625","2584","0.00043945827771641865","32","0.00043945827771641865","0","0.00043945827771641865","0.00043945827771641865","48:0.004681636173734599;50:0.01088597218129217;38:0.005417049860931333","48:88;50:88;38:88","48:0.0030300558579776926;50:0.0038375829218053326;38:0.004402236849168989","0.0020751953125","0.002685546875","Yes"
"50","296.9577081140565","388.23189820874495","0.0040283203125","0.0048828125","0.003173828125","2584","0.00010696068354345072","32","0.00010696068354345072","0","0.00010696068354345072","0.00010696068354345072","49:0.01088597218129217;51:0.0030632809929280747","49:88;51:88","49:0.0038375829218053326;51:0.0015629983370318012","0.0040283203125","0.0029296875","Yes"
"51","293.91710603423667","284.15054265174217","0.0040283203125","0.00439453125","0.003662109375","2584","0.00009316067462266499","32","0.00009316067462266499","0","0.00009316067462266499","0.00009316067462266499","50:0.0030632809929280747;52:0.01505631285802117;58:0.0018329712485621041","50:88;52:88;58:88","50:0.0015629983370318012;52:0.013058672511820163;58:0.0013921629654982393","0.0040283203125","0.001953125","Yes"
"52","121.0204989235835","150.4160583698014","0.0078125","0.014404296875","0.001220703125","2584","0.0005935392331051173","32","0.0005935392331051173","0","0.0005935392331051173","0.0005935392331051173","51:0.01505631285802117;53:0.0043352837069768335","51:88;53:88","51:0.013058672511820163;53:0.006067241796360229","0.0078125","0.004150390625","Yes"
"53","188.01455277344866","242.1257883458797","0.005859375","0.0107421875","0.0009765625","2584","0.00024530485690797937","32","0.00024530485690797937","0","0.00024530485690797937","0.00024530485690797937","39:0.0010154731173197262;52:0.0043352837069768335;54:0.0014875385458745782","39:88;52:88;54:88","39:0.00184110978570165;52:0.006067241796360229;54:0.0022230171947953126","0.005859375","0.009765625","Yes"
"54","306.8446305555944","454.92779164291676","0.002685546875","0.00390625","0.00146484375","2584","0.0002977284836431231","32","0.0002977284836431231","0","0.0002977284836431231","0.0002977284836431231","53:0.0014875385458745782;55:0.0010708242985416894","53:88;55:88","53:0.0022230171947953126;55:0.0018241559067144475","0.002685546875","0.013916015625","Yes"
"55","330.5412659663231","439.1463636682564","0.001953125","0.0029296875","0.0009765625","2584","0.0001186084223338849","32","0.0001186084223338849","0","0.0001186084223338849","0.0001186084223338849","59:0.0009626425707610076;54:0.0010708242985416894","59:88;54:88","59:0.0013217527494976955;54:0.0018241559067144475","0.001953125","0.002685546875","Yes"
"56","334.05419869817433","326.3386584110018","0.015869140625","0.02490234375","0.0068359375","2584","0.0002051423509648179","32","0.0002051423509648179","0","0.0002051423509648179","0.0002051423509648179","43:0.007396172268882284","63:88;43:88","43:0.010847236974444702","0.015869140625","0.008056640625","Yes"
"57","87.14230184992516","136.96799698663997","0.007080078125","0.013671875","0.00048828125","2584","0.00024609210744978984","32","0.00024609210744978984","0","0.00024609210744978984","0.00024609210744978984","47:0.0022635826092633204;67:0.003242501267277542","47:88;67:88","47:0.0030802472367041367;67:0.002413534870754741","0.007080078125","0.009521484375","Yes"
"58","326.67948997902903","291.40095561040306","0.0037841796875","0.005615234375","0.001953125","2584","0.00031230535402313554","32","0.00031230535402313554","0","0.00031230535402313554","0.00031230535402313554","71:0.002513467727076363;51:0.0018329712485621041","71:88;51:88","71:0.0021308176560335956;51:0.0013921629654982393","0.0037841796875","0.000244140625","Yes"
"59","326.2940767113948","359.026329214706","0.0028076171875","0.0048828125","0.000732421875","2584","0.0003221060253992389","32","0.0003221060253992389","0","0.0003221060253992389","0.0003221060253992389","55:0.0009626425707610076;75:0.0012501894014365633","55:88;75:88","55:0.0013217527494976955;75:0.0014050593288330582","0.0028076171875","0.00244140625","Yes"
"60","309.70081951785926","633.5022681300458","0.0068359375","0.011474609375","0.002197265625","2584","0.00009252715819145788","32","0.00009252715819145788","0","0.00009252715819145788","0.00009252715819145788","61:0.0025287308733872027","61:88","61:0.002775565118072948","0.0068359375","0.0029296875","Yes"
"61","328.2340641971092","311.2700676561153","0.00439453125","0.0087890625","0.00146484375","2584","0.00013303250586555468","32","0.00013303250586555468","0","0.00013303250586555468","0.00013303250586555468","76:0.002087950515713838;60:0.0025287308733872027;62:0.0022067637262102036","76:88;60:88;62:88","76:0.0032841380852597912;60:0.002775565118072948;62:0.003222284112462781","0.00439453125","0.00927734375","Yes"
"62","362.062379770121","408.5350457386473","0.00341796875","0.00537109375","0.00146484375","2584","0.00006982664389531872","32","0.00006982664389531872","0","0.00006982664389531872","0.00006982664389531872","61:0.0022067637262102036;63:0.0010335638726029495","61:88;63:88","61:0.003222284112462781;63:0.0016475004115540925","0.00341796875","0.005126953125","Yes"
"63","294.17628734177504","454.1454923735273","0.0057373046875","0.0087890625","0.002685546875","2584","0.00007652296793184454","32","0.00007652296793184454","0","0.00007652296793184454","0.00007652296793184454","62:0.0010335638726029495;64:0.0014402835670034864","56:88;62:88;64:88","62:0.0016475004115540925;64:0.0012604260281939839","0.0057373046875","0.00244140625","Yes"
"64","268.68266211501145","363.2543739061981","0.0106201171875","0.019287109375","0.001953125","2584","0.0002370501910221385","32","0.0002370501910221385","0","0.0002370501910221385","0.0002370501910221385","65:0.0011018250231815407;63:0.0014402835670034864","65:88;63:88","65:0.0011701061334527807;63:0.0012604260281939839","0.0106201171875","0.003173828125","Yes"
"65","205.74041197333568","261.7027321833965","0.0037841796875","0.005859375","0.001708984375","2584","0.00033685252783552394","32","0.00033685252783552394","0","0.00033685252783552394","0.00033685252783552394","64:0.0011018250231815407;66:0.001264927955938494;77:0.0012888248601158059","64:88;66:88;77:88","64:0.0011701061334527807;66:0.0015059981735147943;77:0.001295013130312328","0.0037841796875","0.002685546875","Yes"
"66","361.7641872725149","319.70261666903605","0.00244140625","0.00390625","0.0009765625","2584","0.00014576843166452095","32","0.00014576843166452095","0","0.00014576843166452095","0.00014576843166452095","65:0.001264927955938494;67:0.0012529846205265038","65:88;67:88","65:0.0015059981735147943;67:0.0009471851277061405","0.00244140625","0.002197265625","Yes"
"67","343.3992909846576","321.1414341454851","0.002685546875","0.003173828125","0.002197265625","2584","0.00014709369569226914","32","0.00014709369569226914","0","0.00014709369569226914","0.00014709369569226914","68:0.001396558584464802;57:0.003242501267277542;66:0.0012529846205265038","68:88;57:88;66:88","68:0.0011775728485479975;57:0.002413534870754741;66:0.0009471851277061405","0.002685546875","0.005615234375","Yes"
"68","309.8004667066689","232.38338644365902","0.0020751953125","0.003662109375","0.00048828125","2584","0.0002717875922529915","32","0.0002717875922529915","0","0.0002717875922529915","0.0002717875922529915","67:0.001396558584464802;69:0.0015234115519706382","67:88;69:88","67:0.0011775728485479975;69:0.0015421368161919191","0.0020751953125","0.00048828125","Yes"
"69","287.2848072939882","195.25957436924338","0.00390625","0.004150390625","0.003662109375","2584","0.00037463369007379745","32","0.00037463369007379745","0","0.00037463369007379745","0.00037463369007379745","78:0.002640771882266163;68:0.0015234115519706382;70:0.0018796337547720143","78:88;68:88;70:88","78:0.00256462427372689;68:0.0015421368161919191;70:0.001773374093474639","0.00390625","0.00439453125","Yes"
"70","270.6152509667105","227.47802020415378","0.010009765625","0.018310546875","0.001708984375","2584","0.0003256665804742957","32","0.0003256665804742957","0","0.0003256665804742957","0.0003256665804742957","69:0.0018796337547720143;71:0.00552034608454105","69:88;71:88","69:0.001773374093474639;71:0.003453414284621814","0.010009765625","0.003173828125","Yes"
"71","361.7153225019857","220.66658812164906","0.0233154296875","0.0458984375","0.000732421875","2584","0.00017614045035356046","32","0.00017614045035356046","0","0.00017614045035356046","0.00017614045035356046","72:0.0018432488243838308;58:0.002513467727076363;70:0.00552034608454105","72:88;58:88;70:88","72:0.0019231174085453107;58:0.0021308176560335956;70:0.003453414284621814","0.0233154296875","0.005126953125","Yes"
"72","320.59493699901077","394.48902948468185","0.0028076171875","0.0029296875","0.002685546875","2584","0.00008873289612773044","32","0.00008873289612773044","0","0.00008873289612773044","0.00008873289612773044","73:0.0010206847398043783;71:0.0018432488243838308","73:88;71:88","73:0.0010011751560363713;71:0.0019231174085453107","0.0028076171875","0.002197265625","Yes"
"73","316.09418708637304","329.1515884013916","0.00341796875","0.003173828125","0.003662109375","2584","0.0001601971107787689","32","0.0001601971107787689","0","0.0001601971107787689","0.0001601971107787689","72:0.0010206847398043783;74:0.0011592699589756394;79:0.0009963499462483094","72:88;74:88;79:88","72:0.0010011751560363713;74:0.0016939612041444452;79:0.0011172798899313219","0.00341796875","0.002685546875","Yes"
"74","236.60955782727012","355.7637960175615","0.002685546875","0.004150390625","0.001220703125","2584","0.00027139821767200266","32","0.00027139821767200266","0","0.00027139821767200266","0.00027139821767200266","73:0.0011592699589756394;75:0.0011014759930997875","73:88;75:88","73:0.0016939612041444452;75:0.0011840720736052135","0.002685546875","0.0009765625","Yes"
"75","314.98966472221184","472.1979615325576","0.0035400390625","0.005126953125","0.001953125","2584","0.00017775692384288975","32","0.00017775692384288975","0","0.00017775692384288975","0.00017775692384288975","59:0.0012501894014365633;74:0.0011014759930997875","59:88;74:88","59:0.0014050593288330582;74:0.0011840720736052135","0.0035400390625","0.00341796875","Yes"
"76","319.36287165678124","398.83253119166534","0.0068359375","0.01171875","0.001953125","2584","0.00018567535339120353","32","0.00018567535339120353","0","0.00018567535339120353","0.00018567535339120353","81:0.0009893542563128854;61:0.002087950515713838","81:88;61:88","81:0.0010100265292438404;61:0.0032841380852597912","0.0068359375","0.0048828125","Yes"
"77","276.04647766757256","353.0146845455549","0.0020751953125","0.003662109375","0.00048828125","2584","0.00012535591788488627","32","0.00012535591788488627","0","0.00012535591788488627","0.00012535591788488627","85:0.0009523452502682161;65:0.0012888248601158059","85:88;65:88","85:0.000961452774207644;65:0.001295013130312328","0.0020751953125","0.0009765625","Yes"
"78","325.74079556535713","299.7762663664521","0.002685546875","0.00146484375","0.002197265625","2584","0.00010397437795439207","32","0.00010397437795439207","0","0.00010397437795439207","0.00010397437795439207","69:0.002640771882266163;89:0.006596635124180045","69:88;89:88","69:0.00256462427372689;89:0.00856605795705645","0.002685546875","0.001220703125","Yes"
"79","296.1118520716881","426.9337001175399","0.001708984375","0.00244140625","0.0009765625","2584","0.00018986799192086026","32","0.00018986799192086026","0","0.00018986799192086026","0.00018986799192086026","93:0.001634924828824269;73:0.0009963499462483094","93:88;73:88","93:0.0025511960631642294;73:0.0011172798899313219","0.001708984375","0.001220703125","Yes"
"80","264.8572747061513","467.40355156587054","0.003173828125","0.005859375","0.00048828125","2584","0.0001767718467460028","32","0.0001767718467460028","0","0.0001767718467460028","0.0001767718467460028","81:0.0008503923647140421","81:88","81:0.0011371016972381853","0.003173828125","0.00244140625","Yes"
"81","208.4244479848234","258.1697607693791","0.001953125","0.003173828125","0.000732421875","2584","0.00017284061229324985","32","0.00017284061229324985","0","0.00017284061229324985","0.00017284061229324985","80:0.0008503923647140421;82:0.0011929168461995432;76:0.0009893542563128854","80:88;82:88;76:88","80:0.0011371016972381853;82:0.0014084668559654345;76:0.0010100265292438404","0.001953125","0.00341796875","Yes"
"82","267.7116291372043","398.4072480549624","0.0072021484375","0.002685546875","0.01171875","2584","0.00015558336114220175","32","0.00015558336114220175","0","0.00015558336114220175","0.00015558336114220175","81:0.0011929168461995432;83:0.00253801613415805","81:88;83:148","81:0.0014084668559654345","0.0072021484375","0.013916015625","Yes"
