"Qubit","T1 (us)","T2 (us)","Readout assignment error","Prob meas0 prep1","Prob meas1 prep0","Readout length (ns)","ID error","Single-qubit gate length (ns)","RX error","Z-axis rotation (rz) error","√x (sx) error","Pauli-X error","CZ error","Gate length (ns)","RZZ error","MEASURE error","Operational"
"18","246.32212468526092","196.24040257727182","0.0062255859375","0.00390625","0.008544921875","1560","0.0002840017151045589","32","0.0002840017151045589","0","0.0002840017151045589","0.0002840017151045589","12:0.001342014972769423;31:0.0017547526964550308","12:68;31:68","12:0.0020300589948334113;31:0.0018580201732339985","0.0062255859375","Yes"
"19","108.85220322779429","217.45631168498758","0.0560302734375","0.06884765625","0.043212890625","1560","0.0013310217482566107","32","0.0013310217482566107","0","0.0013310217482566107","0.0013310217482566107","20:0.004443110805886663;15:0.0034021306965428266","20:108;15:80","20:0.0034057266542879827;15:0.003306648000258844","0.0560302734375","Yes"
"20","124.97886707658003","94.0116999380546","0.01904296875","0.029052734375","0.009033203125","1560","0.00022317071436570227","32","0.00022317071436570227","0","0.00022317071436570227","0.00022317071436570227","19:0.004443110805886663;21:0.005718079731480308","19:108;21:68","19:0.0034057266542879827;21:0.004562335662018607","0.01904296875","Yes"
"21","84.75199660715104","23.74470091115302","0.0750732421875","0.06396484375","0.086181640625","1560","0.0008927269098648193","32","0.0008927269098648193","0","0.0008927269098648193","0.0008927269098648193","34:0.0022865848535254807;20:0.005718079731480308;22:0.003727500195061323","34:68;20:68;22:68","34:0.0018109760033943878;20:0.004562335662018607","0.0750732421875","Yes"
"22","43.01576566593405","53.61760346414268","0.029296875","0.03125","0.02734375","1560","0.00036955480614851965","32","0.00036955480614851965","0","0.00036955480614851965","0.00036955480614851965","23:0.0037366327685186274;21:0.003727500195061323","23:68;21:68","23:0.003403989093604065","0.029296875","Yes"
"23","131.90169128865202","179.51701381286608","0.0548095703125","0.03369140625","0.07421875","1560","0.0002165147089098539","32","0.0002165147089098539","0","0.0002165147089098539","0.0002165147089098539","22:0.0037366327685186274;24:0.0014511449364694728;16:0.002908487335663207","22:68;24:68;16:184","22:0.003403989093604065;24:0.0017852553042084773;16:0.0024477403571091794","0.0548095703125","Yes"
"24","157.81823180171784","169.15146894515294","0.0306396484375","0.021240234375","0.0400390625","1560","0.00035205949634674967","32","0.00035205949634674967","0","0.00035205949634674967","0.00035205949634674967","23:0.0014511449364694728;25:0.00185897525939957","23:68;25:68","23:0.0017852553042084773;25:0.0018587501269602957","0.0306396484375","Yes"
"25","203.1532102731674","171.37657987146952","0.1068115234375","0.105712890625","0.10791015625","1560","0.00027136353522218314","32","0.00027136353522218314","0","0.00027136353522218314","0.00027136353522218314","24:0.00185897525939957;26:0.0023970875242820544;35:0.0021095222441641914","24:68;26:68;35:108","24:0.0018587501269602957;26:0.0029007004635112077;35:0.0018020233978996159","0.1068115234375","Yes"
"26","194.71696075895701","191.90480220488283","0.1182861328125","0.177734375","0.058837890625","1560","0.0025628352181252885","32","0.0025628352181252885","0","0.0025628352181252885","0.0025628352181252885","25:0.0023970875242820544;27:0.0023851317702626718","25:68;27:68","25:0.0029007004635112077;27:0.003739136857813463","0.1182861328125","Yes"
"27","89.20995266109767","96.81001872816412","0.0606689453125","0.04833984375","0.072998046875","1560","0.000318897437965078","32","0.000318897437965078","0","0.000318897437965078","0.000318897437965078","26:0.0023851317702626718;28:0.0016792012638821019;17:0.0036320601004476982","26:68;28:80;17:160","26:0.003739136857813463;28:0.0019216172953770427;17:0.0035601768532914357","0.0606689453125","Yes"
"28","141.9658832919257","155.815632726006","0.009765625","0.009521484375","0.010009765625","1560","0.00028686625696480657","32","0.00028686625696480657","0","0.00028686625696480657","0.00028686625696480657","27:0.0016792012638821019;29:0.0029306778585465876","27:80;29:116","27:0.0019216172953770427;29:0.002939311798750621","0.009765625","Yes"
"29","149.67869749056158","132.29458516382627","0.016357421875","0.00927734375","0.0234375","1560","0.000474645691661122","32","0.000474645691661122","0","0.000474645691661122","0.000474645691661122","36:0.0024013027775936224;28:0.0029306778585465876;30:0.0026662509583295635","36:68;28:116;30:68","36:0.0022587229767264405;28:0.002939311798750621;30:0.0021358065633600154","0.016357421875","Yes"
"30","126.8054298331006","104.81670477351807","0.01220703125","0.013671875","0.0107421875","1560","0.00018851187427993454","32","0.00018851187427993454","0","0.00018851187427993454","0.00018851187427993454","31:0.001957054028636329;29:0.0026662509583295635","31:68;29:68","31:0.0017973064519253013;29:0.0021358065633600154","0.01220703125","Yes"
"31","152.93447620881977","178.0252592367995","0.0589599609375","0.046142578125","0.07177734375","1560","0.00030562783026893525","32","0.00030562783026893525","0","0.00030562783026893525","0.00030562783026893525","30:0.001957054028636329;32:0.005672286539121968;18:0.0017547526964550308","30:68;32:68;18:68","30:0.0017973064519253013;32:0.005607181729115701;18:0.0018580201732339985","0.0589599609375","Yes"
"32","6.764940998367343","10.582689475781725","0.0228271484375","0.035888671875","0.009765625","1560","0.00155435914102897","32","0.00155435914102897","0","0.00155435914102897","0.00155435914102897","31:0.005672286539121968;33:0.006043653391352544","31:68;33:68","31:0.005607181729115701;33:0.0068054499405614255","0.0228271484375","Yes"
"33","191.4955545208949","64.07601025031254","0.0343017578125","0.0341796875","0.034423828125","1560","0.0003947029500218934","32","0.0003947029500218934","0","0.0003947029500218934","0.0003947029500218934","37:0.0024838096655275532;32:0.006043653391352544","37:88;32:68","37:0.0033867276482906217;32:0.0068054499405614255","0.0343017578125","Yes"
"34","179.84236154934808","93.25356198467087","0.03759765625","0.029296875","0.0458984375","1560","0.00023855945601960668","32","0.00023855945601960668","0","0.00023855945601960668","0.00023855945601960668","21:0.0022865848535254807;40:0.0021886299554158273","21:68;40:96","21:0.0018109760033943878;40:0.001694978680632675","0.03759765625","Yes"
"35","197.13237655720292","115.78815588125016","0.0137939453125","0.01171875","0.015869140625","1560","0.00037492395042638764","32","0.00037492395042638764","0","0.00037492395042638764","0.00037492395042638764","25:0.0021095222441641914","44:108;25:108","25:0.0018020233978996159","0.0137939453125","Yes"
