"Qubit","T1 (us)","T2 (us)","Readout assignment error","Prob meas0 prep1","Prob meas1 prep0","Readout length (ns)","ID error","Single-qubit gate length (ns)","RX error","Z-axis rotation (rz) error","√x (sx) error","Pauli-X error","CZ error","Gate length (ns)","RZZ error","MEASURE error","Operational"
"24","132.31704534714254","87.22440481083561","0.0142822265625","0.02685546875","0.001708984375","2584","0.0003286266836488894","36","0.0003286266836488894","0","0.0003286266836488894","0.0003286266836488894","23:0.0035293556706631757;25:0.00549054022008591","23:68;25:68","23:0.0034048543893885896;25:0.003266553401996608","0.0142822265625","Yes"
"25","137.23067164963575","72.99286210163348","0.4168701171875","0.0791015625","0.754638671875","2584","0.00035810986348934004","36","0.00035810986348934004","0","0.00035810986348934004","0.00035810986348934004","24:0.00549054022008591;26:0.02076820611220237;37:0.0036236199381701195","24:68;26:68;37:68","24:0.003266553401996608;26:0.012843709169896328;37:0.00597802350047133","0.4168701171875","Yes"
"26","7.25147843868011","8.282375406817614","0.04931640625","0.08984375","0.0087890625","2584","0.0025228652776908105","36","0.0025228652776908105","0","0.0025228652776908105","0.0025228652776908105","25:0.02076820611220237;27:0.014313301784419113","25:68;27:68","25:0.012843709169896328;27:0.015420977075549652","0.04931640625","Yes"
"27","141.39566451777532","181.28700868965524","0.0172119140625","0.01123046875","0.001220703125","2584","0.0002975974161337879","36","0.0002975974161337879","0","0.0002975974161337879","0.0002975974161337879","26:0.014313301784419113;28:0.002093218404376457;17:0.002222932769027436","26:68;28:68;17:68","26:0.015420977075549652;28:0.0015186442548714707;17:0.0022251600945560335","0.0172119140625","Yes"
"28","297.12099926956273","225.82406371638174","0.0137939453125","0.01904296875","0.008544921875","2584","0.0005463728392144508","36","0.0005463728392144508","0","0.0005463728392144508","0.0005463728392144508","27:0.002093218404376457;29:0.003084594472884755","27:68;29:68","27:0.0015186442548714707;29:0.0024350167781657384","0.0137939453125","Yes"
"29","62.583784200257035","80.12293658900508","0.02294921875","0.023681640625","0.022216796875","2584","0.0006231786864522305","36","0.0006231786864522305","0","0.0006231786864522305","0.0006231786864522305","38:0.0033674527659433295;28:0.003084594472884755;30:0.0031602399106284984","38:68;28:68;30:68","38:0.0031470102649134024;28:0.0024350167781657384;30:0.002116197848118978","0.02294921875","Yes"
"30","151.8542614783672","73.71074591229117","0.017578125","0.02978515625","0.00537109375","2584","0.00039810342355422356","36","0.00039810342355422356","0","0.00039810342355422356","0.00039810342355422356","31:0.0036596556845767403;29:0.0031602399106284984","31:68;29:68","31:0.002300619977078755;29:0.002116197848118978","0.017578125","Yes"
"31","164.60487350344968","75.40448829933209","0.020263671875","0.02197265625","0.0185546875","2584","0.0006889483616658952","36","0.0006889483616658952","0","0.0006889483616658952","0.0006889483616658952","30:0.0036596556845767403;32:0.002938195566364349;18:0.002962692028290942","30:68;32:68;18:68","30:0.002300619977078755;32:0.0024636134390888242;18:0.0023733137392024095","0.020263671875","Yes"
"32","262.85542479287903","45.98686355415487","0.007568359375","0.012939453125","0.002197265625","2584","0.00038566827032689193","36","0.00038566827032689193","0","0.00038566827032689193","0.00038566827032689193","31:0.002938195566364349;33:0.0025367728733057815","31:68;33:68","31:0.0024636134390888242;33:0.0019472123783558504","0.007568359375","Yes"
"33","142.46257123098925","110.80150648268625","0.00830078125","0.014892578125","0.001708984375","2584","0.0001769228214631127","36","0.0001769228214631127","0","0.0001769228214631127","0.0001769228214631127","39:0.001818531646122612;32:0.0025367728733057815;34:0.0012490806169669078","39:68;32:68;34:68","39:0.12998080652269992;32:0.0019472123783558504;34:0.0014365253680584389","0.00830078125","Yes"
"34","173.02516751703274","141.3620522715538","0.00634765625","0.01123046875","0.00146484375","2584","0.0002042264106256846","36","0.0002042264106256846","0","0.0002042264106256846","0.0002042264106256846","33:0.0012490806169669078;35:0.0015071320617331962","33:68;35:68","33:0.0014365253680584389;35:0.0015192042569969755","0.00634765625","Yes"
"35","312.68087793181513","483.56374880010344","0.0096435546875","0.007568359375","0.01171875","2584","0.00014152698096035694","36","0.00014152698096035694","0","0.00014152698096035694","0.00014152698096035694","19:0.0016489329392069263;34:0.0015071320617331962","19:80;34:68","19:0.001840447475679241;34:0.0015192042569969755","0.0096435546875","Yes"
"36","223.20487319229272","72.31936719396091","0.0186767578125","0.03662109375","0.000732421875","2584","0.001672126627104391","36","0.001672126627104391","0","0.001672126627104391","0.001672126627104391","41:0.012167527295346675;21:0.002195529432185983","41:68;21:68","41:0.007509300317146417;21:0.0021194689421599466","0.0186767578125","Yes"
"37","136.80471982060408","11.555177156772734","0.0140380859375","0.0205078125","0.007568359375","2584","0.0011531600482732507","36","0.0011531600482732507","0","0.0011531600482732507","0.0011531600482732507","45:0.005203891757320084;25:0.0036236199381701195","45:68;25:68","45:0.00375339493991636;25:0.00597802350047133","0.0140380859375","Yes"
"38","113.48971016393409","42.02846430641949","0.0074462890625","0.013916015625","0.0009765625","2584","0.0009007125700761075","36","0.0009007125700761075","0","0.0009007125700761075","0.0009007125700761075","29:0.0033674527659433295;49:0.0034880237130525404","29:68;49:68","29:0.0031470102649134024;49:0.0035519817060481185","0.0074462890625","Yes"
"39","162.41617199564618","110.73037403660483","0.0206298828125","0.029296875","0.011962890625","2584","0.0006120969511223215","36","0.0006120969511223215","0","0.0006120969511223215","0.0006120969511223215","53:0.0019641252743790305;33:0.001818531646122612","53:68;33:68","53:0.003126317445270199;33:0.12998080652269992","0.0206298828125","Yes"
"40","147.11580341865186","92.90487859128503","0.0252685546875","0.0244140625","0.026123046875","2584","0.0001778329133062125","36","0.0001778329133062125","0","0.0001778329133062125","0.0001778329133062125","41:0.09611824149817212","41:68","41:0.09952486724703882","0.0252685546875","Yes"
"41","201.24773617166557","46.90441087459937","0.0360107421875","0.069580078125","0.00244140625","2584","0.000567572659026197","36","0.000567572659026197","0","0.000567572659026197","0.000567572659026197","40:0.09611824149817212;42:0.012633409223648362;36:0.012167527295346675","40:68;42:68;36:68","40:0.09952486724703882;42:0.008369654546997007;36:0.007509300317146417","0.0360107421875","Yes"
"42","207.7963262854022","97.39827372658469","0.0108642578125","0.018310546875","0.00341796875","2584","0.0004720102412391261","36","0.0004720102412391261","0","0.0004720102412391261","0.0004720102412391261","41:0.012633409223648362;43:0.006885561025448822","41:68;43:68","41:0.008369654546997007;43:0.002420181841694985","0.0108642578125","Yes"
"43","276.0916418214379","71.50433129890614","0.01025390625","0.016357421875","0.004150390625","2584","0.000362906269305298","36","0.000362906269305298","0","0.000362906269305298","0.000362906269305298","42:0.006885561025448822;56:0.0019615825134871867;44:0.001714874340585204","42:68;56:68;44:68","42:0.002420181841694985;56:0.001756951823557118;44:0.002509964699161954","0.01025390625","Yes"
"44","231.14439247215176","197.44607710729449","0.0069580078125","0.00732421875","0.000732421875","2584","0.0007864144563186425","36","0.0007864144563186425","0","0.0007864144563186425","0.0007864144563186425","45:0.002161403614816537;43:0.001714874340585204","45:68;43:68","45:0.002510809476396786;43:0.002509964699161954","0.0069580078125","Yes"
"45","116.13684237575058","104.30105047118137","0.0938720703125","0.184814453125","0.0029296875","2584","0.0005417602355112858","36","0.0005417602355112858","0","0.0005417602355112858","0.0005417602355112858","44:0.002161403614816537;46:0.003978424280377396;37:0.005203891757320084","44:68;46:68;37:68","44:0.002510809476396786;46:0.0043179025603412025;37:0.00375339493991636","0.0938720703125","Yes"
"46","239.08017332609694","151.43183693783052","0.021240234375","0.04052734375","0.001953125","2584","0.00023702232385667212","36","0.00023702232385667212","0","0.00023702232385667212","0.00023702232385667212","45:0.003978424280377396;47:0.004129808688169201","45:68;47:68","45:0.0043179025603412025;47:0.0032049865929598687","0.021240234375","Yes"
"47","175.3554705609767","50.541773577828096","0.007080078125","0.0087890625","0.00537109375","2584","0.001464990215332607","36","0.001464990215332607","0","0.001464990215332607","0.001464990215332607","48:0.00974315483662147;57:0.0017729310970198697;46:0.004129808688169201","48:68;57:68;46:68","48:0.006328081645113143;57:0.0019052722767567976;46:0.0032049865929598687","0.007080078125","Yes"
"48","245.94802732769247","245.57202485838602","0.0596923828125","0.09619140625","0.023193359375","2584","0.0024079438752853026","36","0.0024079438752853026","0","0.0024079438752853026","0.0024079438752853026","47:0.00974315483662147;49:0.010986983052307053","47:68;49:68","47:0.006328081645113143;49:0.007581768600492089","0.0596923828125","Yes"
"49","138.81611378668245","129.5597877223187","0.0086669921875","0.01416015625","0.003173828125","2584","0.0004364247498229196","36","0.0004364247498229196","0","0.0004364247498229196","0.0004364247498229196","48:0.010986983052307053;50:0.0019396754179358267;38:0.0034880237130525404","48:68;50:68;38:68","48:0.007581768600492089;50:0.0035413224711716984;38:0.0035519817060481185","0.0086669921875","Yes"
"50","237.22672391159833","209.09176805579554","0.0089111328125","0.0126953125","0.005126953125","2584","0.0004024805460154042","36","0.0004024805460154042","0","0.0004024805460154042","0.0004024805460154042","49:0.0019396754179358267;51:0.001688500344251831","49:68;51:68","49:0.0035413224711716984;51:0.0020684694390346037","0.0089111328125","Yes"
"51","260.78956776208554","358.5680280064348","0.0650634765625","0.084228515625","0.0458984375","2584","0.0005382095465353294","36","0.0005382095465353294","0","0.0005382095465353294","0.0005382095465353294","50:0.001688500344251831;52:0.0016877622926380065;58:0.0012210585743810676","50:68;52:68;58:68","50:0.0020684694390346037;52:0.0014871922303064389","0.0650634765625","Yes"
"52","119.846333597184","27.74901782451969","0.0101318359375","0.01416015625","0.006103515625","2584","0.0003727445714682648","36","0.0003727445714682648","0","0.0003727445714682648","0.0003727445714682648","51:0.0016877622926380065;53:0.0015255200095629917","51:68;53:68","51:0.0014871922303064389;53:0.0017306429356483966","0.0101318359375","Yes"
"53","236.8075877022078","228.278523201471","0.0150146484375","0.028564453125","0.00146484375","2584","0.0001596630784377156","36","0.0001596630784377156","0","0.0001596630784377156","0.0001596630784377156","39:0.0019641252743790305;52:0.0015255200095629917;54:0.001298870266672636","39:68;52:68;54:68","39:0.003126317445270199;52:0.0017306429356483966;54:0.0013250932997058151","0.0150146484375","Yes"
"54","204.43674009582554","229.17675812711533","0.0057373046875","0.009521484375","0.001953125","2584","0.0004832534747581663","36","0.0004832534747581663","0","0.0004832534747581663","0.0004832534747581663","53:0.001298870266672636;55:0.0018460509626799793","53:68;55:68","53:0.0013250932997058151;55:0.001131074443094321","0.0057373046875","Yes"
"55","226.00488338854603","85.11949071869114","0.0238037109375","0.022216796875","0.025390625","2584","0.0001691513827343487","36","0.0001691513827343487","0","0.0001691513827343487","0.0001691513827343487","59:0.0018630062652287838;54:0.0018460509626799793","59:68;54:68","59:0.001765694648985655;54:0.001131074443094321","0.0238037109375","Yes"
"56","245.8131606209785","133.96151259655193","0.007080078125","0.011962890625","0.002197265625","2584","0.0003408120584199897","36","0.0003408120584199897","0","0.0003408120584199897","0.0003408120584199897","63:0.002266299568739638;43:0.0019615825134871867","63:68;43:68","63:0.0025144146611267015;43:0.001756951823557118","0.007080078125","Yes"
