"Qubit","T1 (us)","T2 (us)","Readout assignment error","Prob meas0 prep1","Prob meas1 prep0","Readout length (ns)","ID error","Single-qubit gate length (ns)","RX error","Z-axis rotation (rz) error","√x (sx) error","Pauli-X error","CZ error","Gate length (ns)","RZZ error","MEASURE error","MEASURE_2 error","Operational"
"20","278.70791236483507","397.2328546334645","0.00244140625","0.00244140625","0.00244140625","2200","0.00012600222610726112","32","0.00012600222610726112","0","0.00012600222610726112","0.00012600222610726112","21:0.0021770197771055766","21:68","21:0.0013897160207629877","0.00244140625","0.001220703125","Yes"
"21","346.26571598165","329.50874144483686","0.01513671875","0.0146484375","0.015625","2200","0.00010719206843031465","32","0.00010719206843031465","0","0.00010719206843031465","0.00010719206843031465","36:0.0022376549407815416;20:0.0021770197771055766;22:0.002211411524918855","36:68;20:68;22:68","36:0.0019019013802058227;20:0.0013897160207629877;22:0.0021850331539880474","0.01513671875","0.01904296875","Yes"
"22","218.22818206211724","314.267294617178","0.001953125","0.0029296875","0.0009765625","2200","0.00008363824828877215","32","0.00008363824828877215","0","0.00008363824828877215","0.00008363824828877215","23:0.001553837985025619;21:0.002211411524918855","23:68;21:68","23:0.0010176791672968366;21:0.0021850331539880474","0.001953125","0.00244140625","Yes"
"23","385.3691428616334","325.70921304823935","0.0341796875","0.064453125","0.00390625","2200","0.0001737864139517412","32","0.0001737864139517412","0","0.0001737864139517412","0.0001737864139517412","22:0.001553837985025619;24:0.0011147180214229058;16:0.0016532101540119304","22:68;24:68;16:68","22:0.0010176791672968366;24:0.0009078363603279571;16:0.0007870251163606679","0.0341796875","0.0029296875","Yes"
"24","276.72979767116124","365.06011238961696","0.002685546875","0.00439453125","0.0009765625","2200","0.00013369490197262364","32","0.00013369490197262364","0","0.00013369490197262364","0.00013369490197262364","23:0.0011147180214229058;25:0.0011291740403489015","23:68;25:68","23:0.0009078363603279571;25:0.0010006325909666658","0.002685546875","0.002197265625","Yes"
"25","375.47239234064955","444.3218184728513","0.0068359375","0.00830078125","0.00537109375","2200","0.0002637699202674556","32","0.0002637699202674556","0","0.0002637699202674556","0.0002637699202674556","24:0.0011291740403489015;26:0.001346946574789426;37:0.001003091434245068","24:68;26:68;37:68","24:0.0010006325909666658;26:0.0032468893233776885;37:0.0009976560837637871","0.0068359375","0.007080078125","Yes"
"26","177.71723179840103","197.35259755860207","0.0068359375","0.01318359375","0.00048828125","2200","0.00023030209771876328","32","0.00023030209771876328","0","0.00023030209771876328","0.00023030209771876328","25:0.001346946574789426;27:0.0018612717702294057","25:68;27:68","25:0.0032468893233776885;27:0.004143752297151387","0.0068359375","0.013671875","Yes"
"27","336.3777594332816","338.74921746840425","0.017578125","0.03271484375","0.00244140625","2200","0.0005971304168403282","32","0.0005971304168403282","0","0.0005971304168403282","0.0005971304168403282","26:0.0018612717702294057;28:0.0013828687035428444;17:0.0014035067435836102","26:68;28:68;17:68","26:0.004143752297151387;28:0.0013348152804134594;17:0.0013610257280999571","0.017578125","0.04296875","Yes"
"28","232.31002878889748","349.0043855138399","0.002685546875","0.0029296875","0.00244140625","2200","0.0001327862751283108","32","0.0001327862751283108","0","0.0001327862751283108","0.0001327862751283108","27:0.0013828687035428444;29:0.00126574297762172","27:68;29:68","27:0.0013348152804134594;29:0.0010409405086680146","0.002685546875","0.0029296875","Yes"
"29","79.97840371151722","86.95280467899859","0.00927734375","0.01513671875","0.00341796875","2200","0.00047170242121932077","32","0.00047170242121932077","0","0.00047170242121932077","0.00047170242121932077","38:0.0009092934979910705;28:0.00126574297762172;30:0.0016337184496746926","38:68;28:68;30:68","38:0.0012782981631088153;28:0.0010409405086680146;30:0.0019899319867462684","0.00927734375","0.00244140625","Yes"
