"Qubit","T1 (us)","T2 (us)","Readout assignment error","Prob meas0 prep1","Prob meas1 prep0","Readout length (ns)","ID error","Single-qubit gate length (ns)","RX error","Z-axis rotation (rz) error","√x (sx) error","Pauli-X error","Gate length (ns)","CZ error","RZZ error","MEASURE error","Operational"
"28","160.13261857638076","196.43045309607226","0.0087890625","0.015625","0.001953125","1560","0.0007432243574585178","24","0.0007432243574585178","0","0.0007432243574585178","0.0007432243574585178","27:68;29:68","29:0.0033909631398690854","27:0.09561942206862466;29:0.0028159661697423344","0.0087890625","Yes"
"29","55.0457707334135","29.04342548968434","0.028076171875","0.04541015625","0.0107421875","1560","0.00026488641265887065","24","0.00026488641265887065","0","0.00026488641265887065","0.00026488641265887065","38:68;28:68;30:68","38:0.002113996811786034;28:0.0033909631398690854;30:0.0027821884872312463","38:0.0019804311610988057;28:0.0028159661697423344;30:0.0022647074665264055","0.028076171875","Yes"
"30","160.16102090919367","125.38830102706133","0.00732421875","0.0068359375","0.0078125","1560","0.0002186403166347204","24","0.0002186403166347204","0","0.0002186403166347204","0.0002186403166347204","31:68;29:68","31:0.003111568297452294;29:0.0027821884872312463","31:0.0030885981926909445;29:0.0022647074665264055","0.00732421875","Yes"
"31","65.09275560059925","45.87021293809275","0.01904296875","0.02685546875","0.01123046875","1560","0.0003003892989026232","24","0.0003003892989026232","0","0.0003003892989026232","0.0003003892989026232","30:68;32:68;18:68","30:0.003111568297452294;32:0.03745393764449434;18:0.003696560073366717","30:0.0030885981926909445;32:0.00811882653903001;18:0.0027281088769699757","0.01904296875","Yes"
"32","158.41535796398517","142.6844717827499","0.03662109375","0.03955078125","0.03369140625","1560","0.00035635715877801343","24","0.00035635715877801343","0","0.00035635715877801343","0.00035635715877801343","31:68;33:68","31:0.03745393764449434","31:0.00811882653903001","0.03662109375","Yes"
"33","96.40141413048035","43.227200934691695","0.014892578125","0.0205078125","0.00927734375","1560","0.0002217945977762862","24","0.0002217945977762862","0","0.0002217945977762862","0.0002217945977762862","39:68;32:68;34:68","39:0.0016351146407907469;34:0.0024186978344323262","39:0.0023510920237276023;34:0.0027746173247020778","0.014892578125","Yes"
"34","120.40729135262227","76.26634228394265","0.009765625","0.01123046875","0.00830078125","1560","0.0005302641151506217","24","0.0005302641151506217","0","0.0005302641151506217","0.0005302641151506217","33:68;35:68","33:0.0024186978344323262;35:0.0025041284249705253","33:0.0027746173247020778;35:0.002415676228936098","0.009765625","Yes"
"35","143.07564438134","42.21753153729121","0.020751953125","0.03515625","0.00634765625","1560","0.0003266175708865187","24","0.0003266175708865187","0","0.0003266175708865187","0.0003266175708865187","19:68;34:68","19:0.002659202673118838;34:0.0025041284249705253","19:0.0018731821936247006;34:0.002415676228936098","0.020751953125","Yes"
"36","140.28898462686223","149.6376907172182","0.011962890625","0.01708984375","0.0068359375","1560","0.001113011257987006","24","0.001113011257987006","0","0.001113011257987006","0.001113011257987006","41:68;21:68","41:0.0017721915859304216;21:0.006111817740519582","41:0.002011203325128552;21:0.0048582031461265884","0.011962890625","Yes"
"37","116.66282163117813","122.13484953756145","0.010986328125","0.01513671875","0.0068359375","1560","0.0002850458367886993","24","0.0002850458367886993","0","0.0002850458367886993","0.0002850458367886993","45:68;25:68","45:0.0021569756006851737;25:0.00264007994764906","45:0.0019039229157089832;25:0.0016554749188486817","0.010986328125","Yes"
